objectid,title,date,year,description,subject,publisher,work_type_aat,type,format_original,format,language,source,rights,rights_standardized,cdmid,cdm_url,filename,cross-files
arg-1955-05-15,"May 15th, 1955",1955-05-15,1955,"524 Bachelor and 113 Master degrees to be presented at 60th commencement; Argonaut has 91% readership; Olympics postponed; Commissions go to 42 in AFROTC; Grads to shine at concert; U. orchestra to perform; 32 men to get commissions; Frosh honorary elects Jan Wilms as new president; AWS schedules campus exchanges for coming year; 23 army men to get awards at inspection; Normal School ready to accept fall applications (p2); WSC, Whitman, and Idaho tie (p3); Gourley cops mile, two mile in Iron-Man performance (p4); Husky depth too strong as vandals lose 87-44 (p4); Zags get stroke win in college invitational (p4)",Graduation; Awards; Commissions; AFROTC; Army; Navy; University orchestra; Debate; Football; Track and Field; Northern Division track meet; Inland Empire invitational; Golf; Horseshoes; Intramural Softball; Intramural Horseshoe,Communications Board of the Associated Students University of Idaho (ASUI),newspapers,Text,Microfilm,application/pdf,eng,"Idaho Newspapers on Microfilm, Idaho State Historical Society, http://history.idaho.gov/","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,9888,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/argonaut/id/9888,arg-1955-05-15.pdf,
arg-1955-10-28,"October 28th, 1955",1955-10-28,1955,"‘My sister Eileen’ will open tonight: curtain time at 8p.m. in univ. auditorium; Seven men learn fast Portuguese; 300-plus turned away from SUB as Vandals are drained for pint; Choices named by united, SG; Vandal vets name Riley first prexy; Speech ass’n is Idaho guest at conference; Walkers slow traffic, are fed at bitter end; Geology field trip takes many on all-day study (p2); Chamber of commerce hears Theophilus speak (p3); Weed control group to meet (p3); Sweden, USA differ in morals and dress (p4); Vandals shoot for high flying Ducks: Stahley plans extensive use of sophs at Eugene (p6); Four teams unbeaten in intramural football (p6)",ASUI theater; Theater; Language; Blood drive; Class elections; Rodeo; AFROTC; Drug control; Football; Intramurals; Hockey; Swimming; Conference; Traffic; Geology,Communications Board of the Associated Students University of Idaho (ASUI),newspapers,Text,Microfilm,application/pdf,eng,"Idaho Newspapers on Microfilm, Idaho State Historical Society, http://history.idaho.gov/","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,9889,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/argonaut/id/9889,arg-1955-10-28.pdf,
arg-1956-01-23,"January 23rd, 1956",1956-01-23,1956,"Artist plays here tonite: cellist Fournier will be star in series; Jennie Tourel to sing thurs.; Tri-Delt, Pi Phi, Kappa hold rush; Rear fender torn loose in Moscow-Pullman wreck; U. of Minnesota students seek pre-final break; Frats mid-year rush 4-12 ays IFC, Down beats play successful hop; Halftime includes ‘I’ club initiation; Science prof. Lean Bacon makes ‘the powder and the glory”; Second string pace initial Vandal win: last second shot given Idaho split win with Ducks (p4); Babes break scoring mark (p4); Finmen take lopsided win at Montana (p4)",Greek life; Car accidents; Finals; Jennie Tourel; Pierre Fournier; Basketball; Women's Basketball; Men’s Basketball; Gene Stauber; Football; Swimming,Communications Board of the Associated Students University of Idaho (ASUI),newspapers,Text,Microfilm,application/pdf,eng,"Idaho Newspapers on Microfilm, Idaho State Historical Society, http://history.idaho.gov/","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,9891,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/argonaut/id/9891,arg-1956-01-23.pdf,
arg-1968-04-01,"April 1st, 1968",1968-04-01,1968,"History prof; Winker resigns to run for pres.; Women's hours to be abolished; F. Winker gives exclusive interview; G. Taylor throws hat in ring - again; The last supper attended by four; Wind ensemble to play more; End of world postponed; Controversial film “Candy” to be shown on campus; Eleven coeds vie for Miss U of I (p3); One killed, two injured in car accident (p3); Campus construction halted by wage strike (p3); Steve Brown missed track meet, suspended, Jim Johnston is disciplined (p4); Battle of Palouse set for Spokane (p4)",Presidential campaign; President of the United States; Discrimination; Gender discrimination; Activities Council; Car accident; Death; Strike; Track and Field; Joe Albi Stadium; Track and Field; Basketball; High Jump,Communications Board of the Associated Students University of Idaho (ASUI),newspapers,Text,Microfilm,application/pdf,eng,"Idaho Newspapers on Microfilm, Idaho State Historical Society, http://history.idaho.gov/","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,9915,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/argonaut/id/9915,arg-1968-04-01.pdf,
arg-1970-09-22,"September 22nd, 1970",1970-09-22,1970,"Fifty unit housing --- done in record time; Annual Losers’ Walk cancelled, labeled ‘worn out tradition’; Campus Affairs considers plans; Draft and Veteran’s requirements unchanged by credit reduction; Interested students sought for several ASUI committees; Admission price negotiations to begin soon; News racks aid distribution; Turnkey housing proposed as answer to WSU problem (p3); Hahn to present flute program at music recital (p3); League of Women Voters to meet (p3); Students to study abroad (p4); Students may originate projects for funding under new program (p4); Borning leaves Idaho to study in Nigeria (p4); Racism workshop slated at WSU (p4); McKay receives first fellowship (p4); Idaho falls 44-16 after WSU rally (p5); Robbins criticizes officials (p5); WSU girls living at Idaho deal with infrequent bus schedules (p6); Agency established to assist women with unwanted pregnancies (p6); All Idaho Week activities planned at ISU this year (p6)","Student housing; Dormitories; WSU housing; Women housing; Student Housing Project; Boise Cascade Corporation; Parking, Recreation; ASUI; Activity Card; Jim McFarland; Washington State University; LWV; League of Women Voters; Outstanding Educators of America; Northwest Interinstitutional Council on Study Abroad; National Science Foundation; Bernard C. Borning; Malcolm X University; Football; All Idaho Week; Bus Schedules; Deer census",Communications Board of the Associated Students University of Idaho (ASUI),newspapers,Text,Microfilm,application/pdf,eng,"Idaho Newspapers on Microfilm, Idaho State Historical Society, http://history.idaho.gov/","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,9936,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/argonaut/id/9936,arg-1970-09-22.pdf,
arg-2000-02-01,"February 1st, 2000",2000-02-01,2000,Law school considers location change; Hendricks case remains unsolved; ASUI discuss UI issues in Boise; Alaska Airlines flight crashes in Pacific Ocean near L.A. (p3); Teacher Sharon Kehoe promotes faith on campus (p4); Aggies hold Vandals back in weekend setback (p6); Tyson punishes Francis (p6); Rams’ defensive stop prevents Super Bowl Overtime disaster (p6); Drag show diversity fills The Beach (p8);,"College of Law; Hendricks, Wil; Missing; Hendricks; ASUI; ASUI Senate; Alaskan Airlines; Campus Christian Center; Kehoe, Sharon; Football; Super Bowl; Boxing; Basketball; Men’s Basketball; Drag show",Communications Board of the Associated Students University of Idaho (ASUI),newspapers,Text,Microfilm,application/pdf,eng,"Idaho Newspapers on Microfilm, Idaho State Historical Society, http://history.idaho.gov/","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,10166,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/argonaut/id/10166,arg-2000-02-01.pdf,
arg-1977-11-07,"November 7th, 1977",1977-11-07,1977,"Will Guard rescue course?; Student, media folk protest Shelledy jailing; Regents accept grants for research; Entertainment, Arg argument on Senate agenda (p2); Recycling center picks up (p2); Marijauna leads to 13 arrests at WSU concert (p2); Off0-campus students meet (p2); Marching band financially sound (p3); Moscow residents go to the polls today (p6); Polls open between 12 and 8 pm in Moscow; Vandals ‘passed out,’ lose 35-21 (p8); Idaho hosts ‘Cougs, Invitational (p8); Women entry tourney undefeated (p9); Idaho Orienteers take first three places in meet (p9); Bogart, Hepburn cruise on “The African Queen’ (p10); Sex sells, sure: but death? (p11); Library, English departments sponsor literary venture (p12)","ASUI Golf Course; National Guard; Lynn Tominaga; State Board of Regents; State Board of Education; Protest; Jay Shelledy; Jailing; Research grants; Entertainment department; Moscow Recycling Center; Washington State University; WSU; Drugs; Marijuana; Steve Miller concert; SUB; Marching band; University of Idaho Marching Band; Sound of Idaho Marching Band; Dan Bukvich; Finances; Polls; Voting; Moscow City elections; Basketball; Football; Intramurals; Volleyball; KIUD-FM; Field Hockey, Women’s; Cross-country; The African Queen; Media; Snapdragon; Department of English; Adolph Coors Company; Humanities Library",Communications Board of the Associated Students University of Idaho (ASUI),newspapers,Text,Microfilm,application/pdf,eng,"Idaho Newspapers on Microfilm, Idaho State Historical Society, http://history.idaho.gov/","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,10314,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/argonaut/id/10314,arg-1977-11-07.pdf,
arg-2004-10-26,"October 26th, 2004",2004-10-26,2004,Powwow brings fancy stepping; Fraternity alcohol investigations to be carried out separately; Lead attorney for al-Hussayen shares lessons learned; Students fight poverty with ‘A Night without Comfort’; Wall Street Journal editor offers the human side of journalism (p3); Swim program returns to Vandal athletics (p8); Vandals can’t stop Blue Raiders’ high tempo offense (p8); Senior provides leadership (p8); Students climb in the dark at Late Night at the Rec (p9);,"Powwow; Native American Student Association; Powwow; Delta Sigma Phi; al-Hussayen, Sami Omar; A Night Without Comfort; Friendship Square; Wall Street Journal; Swim team; Swim; Football; Volleyball; Volleyball; Student Recreation Center",Communications Board of the Associated Students University of Idaho (ASUI),newspapers,Text,Microfilm,application/pdf,eng,"Idaho Newspapers on Microfilm, Idaho State Historical Society, http://history.idaho.gov/","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,10999,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/argonaut/id/10999,arg-2004-10-26.pdf,
arg-1906-09-24,"September 24th, 1906",1906-09-24,1906,"STAGS HAVE GOOD TIME: Men of the University enjoy pleasant evening at gym: Two hundred are present: Time passed in games, songs, yells, and speechmaking by students and professors; Board of regents meet: New Administration building located; Athletics; Church Directory; Many Hear Hutchinson: Well known speaker on bible study is accorded a good audience at yesterday’s rally (p2); Officers Elected: Debate council meets and transects important business (p2); Seek Better News Service: Plan to be tried which may give the  argonaut fresh exchanges (p2); Military Notes (p2); Alumni and Old Students (p3); State Items (p3); Tom Jones Honored (p4); Rhodes Coming (p4); Annual Staff Will Meet (p4);",Stags; Regents; Administration; Athletics; Bible; Debate; Military; Alumni,Communications Board of the Associated Students University of Idaho (ASUI),newspapers,Text,Microfilm,application/pdf,eng,"Idaho Newspapers on Microfilm, Idaho State Historical Society, http://history.idaho.gov/",Public Domain in USA,http://rightsstatements.org/vocab/NoC-US/1.0/,11231,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/argonaut/id/11231,arg-1906-09-24.pdf,
arg-1923-09-16,"September 16th, 1923",1923-09-16,1923,"Welcome to Idaho, Class of 1927!; Saturday football practice opens bright vandal season; New Engineering laboratory ready for coming season; The President’s message; 1922 Freshmen promising: First few days to be devoted to condition drills and exercises; Work on Gem starts; Curtain offers plays: Dramatic society will present series of productions early in Fall; Groups improve property: Kappa Delts remodel home Kapas start construction Thursday; Alumni hopes high for Memorial gym; New student office installed in U Hut; Former Idaho dean dies in California: Dr. Charles Newton Little succumbs to heart failure; Moscow canvassed for student work; Few faculty changes made during summer; Idaho students miss quakes by two days; Sport writer says vandals look good: Athletic authority on chronicle predicts winning season;  Hulme fight to come Saturday, September 29; Architecture offered (p6); Moscow business men to meet special train (p6)",Engineering; Greek life; Sports; Dramatic plays; Dr. Little,Communications Board of the Associated Students University of Idaho (ASUI),newspapers,Text,Microfilm,application/pdf,eng,"Idaho Newspapers on Microfilm, Idaho State Historical Society, http://history.idaho.gov/",Public Domain in USA,http://rightsstatements.org/vocab/NoC-US/1.0/,11239,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/argonaut/id/11239,arg-1923-09-16.pdf,
