title,opponent,abbreviation,sport,date,year,location,stadium,latitude,longitude,score,notes,identifier,original collection,digital collection,publisher,rights,rightsstatement,format-original,format,display_template,type,duration,filename,id number,disc number,youtubeid,object_location,image_small,image_thumb,cdm_url,objectid
"University of Idaho vs. Arizona State University (Football), 11/25/1950",Arizona State University,AzST,Football,1950-11-25,1950,"Tempe, AZ",Goodwin Stadium,33.423792,-111.932807,21 - 48 (L),,UG64-AzST1950-1_1,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/mp4,video,Image;MovingImage,0:36:42,UG64-AzST1950-1_1.avi,1_1,1,sHhk1eAgopU,https://youtu.be/sHhk1eAgopU,https://img.youtube.com/vi/sHhk1eAgopU/sddefault.jpg,https://img.youtube.com/vi/sHhk1eAgopU/hqdefault.jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/0,vandalvideo0
"University of Idaho vs. Boise State University (Football), 10/30/1982",Boise State University,"Boise, IDSt",Football,1982-10-30,1982,"Boise, ID",Bronco Stadium,43.602798,-116.195833,24 - 17 (W),"1982 & 1984 on same disc; Cliff: same b/w 16mm footage as the 1982 DVD but DVD froze up, scenes are out of order; 1984 game also 16mm b/w with no sound, not entire game: only special teams plays; probably made for the defensive coordinator and special teams coaches, no offensive plays.","UG64-Boise, IDSt1982-1_15a",Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/mp4,video,Image;MovingImage,1:33:59,"UG64-Boise, IDSt1982-1_15a.avi",1_15a,15,5sEBw1E_9A4,https://youtu.be/5sEBw1E_9A4,https://img.youtube.com/vi/5sEBw1E_9A4/sddefault.jpg,https://img.youtube.com/vi/5sEBw1E_9A4/hqdefault.jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/1,vandalvideo1
"University of Idaho vs. University of Southern California  (Football), 10/30/1925",University of Southern California,USC,Football,1925-10-30,1925,"Moscow, ID",Neale Stadium,46.726113,-117.015671,7 - 51 (L),"MG 23, Item 29",UG64-USC1925-1_102a,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/mp4,video,Image;MovingImage,0:22:12,UG64-USC1925-1_102a.avi,1_102a,102,CVXQ3X6Q8oU,https://youtu.be/CVXQ3X6Q8oU,https://img.youtube.com/vi/CVXQ3X6Q8oU/sddefault.jpg,https://img.youtube.com/vi/CVXQ3X6Q8oU/hqdefault.jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/2,vandalvideo2
"University of Idaho vs. Washington State University (Football), 10/23/1954",Washington State University,WSU,Football,1954-10-23,1954,"Pullman, WA",Rodgers Field,46.731806,-117.160444,10 - 0 (W),,UG64-WSU1954-1_111,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/mp4,video,Image;MovingImage,0:40:37,UG64-WSU1954-1_111.avi,1_111,111,7NCJiBcBbyc,https://youtu.be/7NCJiBcBbyc,https://img.youtube.com/vi/7NCJiBcBbyc/sddefault.jpg,https://img.youtube.com/vi/7NCJiBcBbyc/hqdefault.jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/3,vandalvideo3
"University of Idaho vs. University of Washington (Football), 09/24/1960",University of Washington,UWash,Football,1960-09-24,1960,"Seattle, WA",Husky Stadium,47.650278,-122.301667,12 - 41 (L),,UG64-UWash1960-1_115,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/mp4,video,Image;MovingImage,0:46:07,UG64-UWash1960-1_115.avi,1_115,115,f9Up3KJKvhM,https://youtu.be/f9Up3KJKvhM,https://img.youtube.com/vi/f9Up3KJKvhM/sddefault.jpg,https://img.youtube.com/vi/f9Up3KJKvhM/hqdefault.jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/4,vandalvideo4
"University of Idaho vs. University of Washington (Basketball), 02/22/1958",University of Washington,UWash-bb,Basketball,1958-22-02,1958,"Moscow, ID",Memorial Gymnasium,46.726389,-117.018056,85 - 63 (W),,UG64-UWash-bb1905-1_119,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/mp4,video,Image;MovingImage,0:17:55,UG64-UWash-bb1905-1_119a.avi,1_119,119,UmSkhFIvYEo,https://youtu.be/UmSkhFIvYEo,https://img.youtube.com/vi/UmSkhFIvYEo/sddefault.jpg,https://img.youtube.com/vi/UmSkhFIvYEo/hqdefault.jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/5,vandalvideo5
"University of Idaho vs. University of Washington (Basketball), 02/07/1958",University of Washington,UWash-bb,Basketball,1958-02-07,1958,"Seattle, WA",Hec Edmundson Pavilion,47.65212,-122.30223,49 - 56 (L),,UG64-UWash-bb1905-1_119,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/mp4,video,Image;MovingImage,0:08:34,UG64-UWash-bb1905-1_119b.avi,1_119,119,-9wFfSULMCs,https://youtu.be/-9wFfSULMCs,https://img.youtube.com/vi/-9wFfSULMCs/sddefault.jpg,https://img.youtube.com/vi/-9wFfSULMCs/hqdefault.jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/6,vandalvideo6
"University of Idaho vs. Washington State University (Football), 11/02/1940",Washington State University,WSU,Football,1940-11-02,1940,"Moscow, ID",Neale Stadium,46.726113,-117.015671,0 - 23 (L),,UG64-WSU1940-1_120,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/mp4,video,Image;MovingImage,0:35:00,UG64-WSU1940-1_120.avi,1_120,120,dYUIAwv2uTQ,https://youtu.be/dYUIAwv2uTQ,https://img.youtube.com/vi/dYUIAwv2uTQ/sddefault.jpg,https://img.youtube.com/vi/dYUIAwv2uTQ/hqdefault.jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/7,vandalvideo7
"University of Idaho vs. Washington State University (Football), 09/29/1945",Washington State University,WSU,Football,1945-09-29,1945,"Moscow, ID",Neale Stadium,46.726113,-117.015671,12 - 43 (L),,UG64-WSU1945-1_121a,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/mp4,video,Image;MovingImage,0:40:58,UG64-WSU1945-1_121.avi,1_121a,121,9oGkPj-9A5k,https://youtu.be/9oGkPj-9A5k,https://img.youtube.com/vi/9oGkPj-9A5k/sddefault.jpg,https://img.youtube.com/vi/9oGkPj-9A5k/hqdefault.jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/8,vandalvideo8
"University of Idaho vs. Washington State University (Football), 10/15/1949",Washington State University,WSU,Football,1949-10-15,1949,"Moscow, ID",Neale Stadium,46.726113,-117.015671,13 - 35 (L),,UG64-WSU1949-1_124,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/mp4,video,Image;MovingImage,0:36:13,UG64-WSU1949-1_124.avi,1_124,124,PyGkWTjkPaw,https://youtu.be/PyGkWTjkPaw,https://img.youtube.com/vi/PyGkWTjkPaw/sddefault.jpg,https://img.youtube.com/vi/PyGkWTjkPaw/hqdefault.jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/9,vandalvideo9
