title,description,subject,date,source,format,language,type,rights,rightsstatement,cdm_url,cdmid,objectid,reference_url,display_template,filename,object_location,image_small,image_thumb,errors
The Idaho Forester - 1922 (Vol. 04),,forest fire management; forest policy; forest regeneration; forest succession; forestry; hardwood; India; land use; natural resources conservation; Pinus peuce; Thuja plicata,1922,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/68,68,forester68,http://localhost:4000/digital/forester/items/.html,pdf,forester68.pdf,https://objects.lib.uidaho.edu/forester/forester68.pdf,https://objects.lib.uidaho.edu/forester/small/forester68_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester68_th.jpg,
The Idaho Forester - 1917 (Vol. 01),,Abies grandis; blister rust; forestry; grazing; logging; organizations; Pinus; range management; topography,1917,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/109,109,forester109,http://localhost:4000/digital/forester/items/.html,pdf,forester109.pdf,https://objects.lib.uidaho.edu/forester/forester109.pdf,https://objects.lib.uidaho.edu/forester/small/forester109_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester109_th.jpg,
The Idaho Forester - 1920 (Vol. 02),,forest policy; forest products industry; Pinus; plant pathology,1920,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/150,150,forester150,http://localhost:4000/digital/forester/items/.html,pdf,forester150.pdf,https://objects.lib.uidaho.edu/forester/forester150.pdf,https://objects.lib.uidaho.edu/forester/small/forester150_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester150_th.jpg,
The Idaho Forester - 1921 (Vol. 03),,commodity prices; forest policy; forest recreation; forestry; fungal diseases of plants; logging; Pinus ponderosa; wood products,1921,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/203,203,forester203,http://localhost:4000/digital/forester/items/.html,pdf,forester203.pdf,https://objects.lib.uidaho.edu/forester/forester203.pdf,https://objects.lib.uidaho.edu/forester/small/forester203_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester203_th.jpg,
The Idaho Forester - 1923 (Vol. 05),,Alces alces; blister rust; Coeur d&#39; Alene National Forest; equipment; forestry; grazing; Pinus ponderosa; public relations; taxes; USDA Forest Service,1923,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/272,272,forester272,http://localhost:4000/digital/forester/items/.html,pdf,forester272.pdf,https://objects.lib.uidaho.edu/forester/forester272.pdf,https://objects.lib.uidaho.edu/forester/small/forester272_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester272_th.jpg,
The Idaho Forester - 1924 (Vol. 06),,decayed wood; fire fighting; forest economics; forest fire management; forest management; forestry; logging; Pinus monticola; range management; slash; Ursidae,1924,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/341,341,forester341,http://localhost:4000/digital/forester/items/.html,pdf,forester341.pdf,https://objects.lib.uidaho.edu/forester/forester341.pdf,https://objects.lib.uidaho.edu/forester/small/forester341_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester341_th.jpg,
The Idaho Forester - 1925 (Vol. 07),,conifers; ethics; forest policy; foresters; grazing; Pinus; Pinus monticola; pulp and paper industry,1925,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/418,418,forester418,http://localhost:4000/digital/forester/items/.html,pdf,forester418.pdf,https://objects.lib.uidaho.edu/forester/forester418.pdf,https://objects.lib.uidaho.edu/forester/small/forester418_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester418_th.jpg,
The Idaho Forester - 1926 (Vol. 08),,conifers; forest engineering; forest fires; foresters; forestry; Pinus ponderosa,1926,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/487,487,forester487,http://localhost:4000/digital/forester/items/.html,pdf,forester487.pdf,https://objects.lib.uidaho.edu/forester/forester487.pdf,https://objects.lib.uidaho.edu/forester/small/forester487_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester487_th.jpg,
The Idaho Forester - 1928 (Vol. 10),,blister rust; foresters; rodents; sapwood; state forests; waste wood,1928,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/556,556,forester556,http://localhost:4000/digital/forester/items/.html,pdf,forester556.pdf,https://objects.lib.uidaho.edu/forester/forester556.pdf,https://objects.lib.uidaho.edu/forester/small/forester556_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester556_th.jpg,
The Idaho Forester - 1927 (Vol. 09),,forest nurseries; forest policy; foresters; forestry; Pinus ponderosa,1927,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/625,625,forester625,http://localhost:4000/digital/forester/items/.html,pdf,forester625.pdf,https://objects.lib.uidaho.edu/forester/forester625.pdf,https://objects.lib.uidaho.edu/forester/small/forester625_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester625_th.jpg,
