objectid,title,date,archival_date,president,commencement_address,guest_speakers,location,latitude,longitude,source,identifier,type,format,format_original,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb,cdmid
commencement001,First Annual Commencement University of Idaho,1896-06-11,11 June 1896,"Gault, Franklin Benjamin",,,Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1896,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1896.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1896.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1896_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1896_sm.jpg,1212
commencement002,Graduation Exercises,1897-06-10,10 June 1897,"Gault, Franklin B.",,,,,,University of Idaho Library Special Collections and Archives,uicommencement-1897-06-10,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1897-06-10.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1897-06-10.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1897-06-10_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1897-06-10_sm.jpg,1124
commencement003,Commencement Exercises University of Idaho,1898-06-03,03 June 1898,"Gault, Franklin Benjamin",,,,,,University of Idaho Library Special Collections and Archives,commencement-jun1898,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1898.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1898.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1898_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1898_sm.jpg,1090
commencement004,Commencement Exercises,1899-06-15,15 June 1899,"Blanton, Joseph P.","Lewis, James Hamilton",,Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1899-06-15,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1899-06-15.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1899-06-15.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1899-06-15_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1899-06-15_sm.jpg,1104
commencement005,Commencement Exercises,1900-06-13,13 June 1900,"Blanton, Joseph P.","King, Charles",,Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1900-06-13,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1900-06-13.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1900-06-13.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1900-06-13_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1900-06-13_sm.jpg,1078
commencement006,Commencement Exercises,1902-06-11,11 June 1902,"MacLean, James Alexander","Aylesworth, Barton O.",,,,,University of Idaho Library Special Collections and Archives,uicommencement-1902-06-11,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1902-06-11.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1902-06-11.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1902-06-11_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1902-06-11_sm.jpg,1155
commencement007,Commencement Exercises,1903-06-10,10 June 1903,"MacLean, James Alexander","Wise, Stephen S.",,,,,University of Idaho Library Special Collections and Archives,uicommencement-1903-06-10,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1903-06-10.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1903-06-10.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1903-06-10_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1903-06-10_sm.jpg,1143
commencement008,University of Idaho Commencement Exercises,1904-06-08,08 June 1904,"MacLean, James Alexander","Kane, Thomas F.",,,,,University of Idaho Library Special Collections and Archives,uicommencement-1904-06-08,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1904-06-08.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1904-06-08.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1904-06-08_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1904-06-08_sm.jpg,1210
commencement009,Commencement Exercises,1906-06-06,06 June 1906,"MacLean, James Alexander","Wise, Stephen S.",,,,,University of Idaho Library Special Collections and Archives,uicommencement-1906-06-06,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1906-06-06.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1906-06-06.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1906-06-06_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1906-06-06_sm.jpg,1196
commencement010,Commencement University of Idaho,1907-06-12,12 June 1907,"MacLean, James Alexander","Overstreet, Harry Allen",,,,,University of Idaho Library Special Collections and Archives,commencement-jun1907,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1907.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1907.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1907_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1907_sm.jpg,1059
