objectid,parentid,title,creator,description,date,date_is_approximate,source,findingaid,subject,category,coverage,language,digitization_specifications,date_digital,identifier,publisher,relation,collection,type,format,format_original,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb
spec_uihp0,,John Brigham at Commencement,,John Brigham receiving honorary degree.,1939,,"University of Idaho Student Organizations collection, 1890-1992, PG 2, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv867166,commencement; honoraria (awards),Graduation;,United States--Idaho--Latah County--Moscow,eng,200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.,2010-05,2-109-11,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,spec_uihp0.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp0.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp0_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp0_th.jpg
spec_uihp1,,Commencement Procession [1],,"Commencement procession entering Administration Building June 1924. Professor Dale mounting the steps, Gov. Moore (foreground) and President Upham. Prince Gelasio Caetani (facing camera) and Stanly Easton.",1924-06,,"University of Idaho Student Organizations collection, 1890-1992, PG 2, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv867166,administration building; commencement; processions,Graduation;,United States--Idaho--Latah County--Moscow,eng,300 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.,2010-05,2-109-21,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,spec_uihp1.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp1.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp1_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp1_th.jpg
spec_uihp2,,Governor Don Samuelson [1],Donor: Publications Department,Governor Don Samuelson speaking at commencement.,1968,,"University of Idaho Student Organizations collection, 1890-1992, PG 2, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv867166,commencement; speakers (people); governors (public officers),Graduation;,United States--Idaho--Latah County--Moscow,eng,300 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.,2010-05,2-109-112,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,spec_uihp2.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp2.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp2_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp2_th.jpg
spec_uihp3,,Governor Don Samuelson Speech,,Governor Don Samuelson speaking at commencement.,1968,,"University of Idaho Student Organizations collection, 1890-1992, PG 2, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv867166,commencement; speakers (people); governors (public officers),Graduation;,United States--Idaho--Latah County--Moscow,eng,200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.,2010-05,2-109-112a,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,spec_uihp3.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp3.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp3_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp3_th.jpg
spec_uihp4,,Governor Don Samuelson at Commencement,,Governor Don Samuelson speaking at commencement.,1968,,"University of Idaho Student Organizations collection, 1890-1992, PG 2, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv867166,commencement; speakers (people); governors (public officers),Graduation;,United States--Idaho--Latah County--Moscow,eng,200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.,2010-05,2-109-112b,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,spec_uihp4.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp4.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp4_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp4_th.jpg
spec_uihp5,,"Music Room, Administration Building",,Music Room in the Administration Building.,1891,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,administration building; music rooms,Buildings;,United States--Idaho--Latah County--Moscow,eng,"270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-51-23,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,spec_uihp5.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp5.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp5_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp5_th.jpg
spec_uihp6,,Administration Building Interior,,"Administration Building, interior of entrance hall showing museum.",1900,y,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,administration building; music rooms,Buildings;,United States--Idaho--Latah County--Moscow,eng,"270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-51-22,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,spec_uihp6.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp6.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp6_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp6_th.jpg
spec_uihp7,,Administration Building Fire,,Fire destroying Administration Building.,1906-03-30,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,administration building; fire damage,Buildings;,United States--Idaho--Latah County--Moscow,eng,"270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-51-24a,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,spec_uihp7.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp7.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp7_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp7_th.jpg
spec_uihp8,,Administration Building After Fire [1],,Administration Building after the fire.,1906,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,administration building; fire damage,Buildings;,United States--Idaho--Latah County--Moscow,eng,"200 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-51-26,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,spec_uihp8.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp8.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp8_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp8_th.jpg
spec_uihp9,,Administration Building After Fire [2],,Administration Building after the fire.,1906,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,administration building; fire damage,Buildings;,United States--Idaho--Latah County--Moscow,eng,"200 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-51-28,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,spec_uihp9.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp9.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp9_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp9_th.jpg
