objectid,title,volume,date,subjects,description,publisher,quote,sponsor,language,type,format,rights,rightsstatement,page_url,filename_old,archive_link,image_spine,highlight_images,filename,display_template,object_location,image_thumb,image_small
uidaho_gem_1903,Gem of the Mountains 1903,Volume 1,1903,University of Idaho; yearbooks,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,University of Idaho,"""Yell Rah! Rah! Rah! Rah! Rah! Rah! Idaho! Idaho! Boom! Ba! Bah!"" (pdf page 13)",,eng,Text,application/pdf,Public domain in US,http://rightsstatements.org/vocab/NoC-US/1.0/,https://www.lib.uidaho.edu/digital/gem/1903/,1903/Gem1903.pdf,https://archive.org/details/uidaho_gem_1903,https://objects.lib.uidaho.edu/gem/spines/1903.jpg,gem-1903-highlight2.jpg;gem-1903-highlight1.jpg;gem-1903-highlight3.jpg;gem-1903-highlight4.jpg;gem-1903-highlight6.jpg;gem-1903-highlight5.jpg,uidaho_gem_1903.pdf,yearbook,https://objects.lib.uidaho.edu/gem/uidaho_gem_1903.pdf,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1903_th.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1903_sm.jpg
uidaho_gem_1904,Gem of the Mountains 1904,Volume 2,1904,University of Idaho; yearbooks,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,University of Idaho,"""Our University is not an accident; it is not a creature of impulse. It is a link in that divine chain of events which holds firmly for the use of today all the good and true of the past."" (pdf page 24)",,eng,Text,application/pdf,Public domain in US,http://rightsstatements.org/vocab/NoC-US/1.0/,https://www.lib.uidaho.edu/digital/gem/1904/,1904/Gem1904.pdf,https://archive.org/details/uidaho_gem_1904,https://objects.lib.uidaho.edu/gem/spines/1904.jpg,gem-1904-highlight2.jpg;gem-1904-highlight1.jpg;gem-1904-highlight3.jpg;gem-1904-highlight5.jpg;gem-1904-highlight4.jpg,uidaho_gem_1904.pdf,yearbook,https://objects.lib.uidaho.edu/gem/uidaho_gem_1904.pdf,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1904_th.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1904_sm.jpg
uidaho_gem_1906,Gem of the Mountains 1906,Volume 3,1906,University of Idaho; yearbooks,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,University of Idaho,"""But the end of all these blood-curdling scenes is at hand. We have our Gym and soon we hope to have some apparatus."" (pdf page 30)",,eng,Text,application/pdf,Public domain in US,http://rightsstatements.org/vocab/NoC-US/1.0/,https://www.lib.uidaho.edu/digital/gem/1906/,1906/Gem1906.pdf,https://archive.org/details/uidaho_gem_1906,https://objects.lib.uidaho.edu/gem/spines/1906.jpg,gem-1906-highlight1.jpg;gem-1906-highlight2.jpg;gem-1906-highlight3.jpg;gem-1906-highlight4.jpg;gem-1906-highlight5.jpg,uidaho_gem_1906.pdf,yearbook,https://objects.lib.uidaho.edu/gem/uidaho_gem_1906.pdf,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1906_th.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1906_sm.jpg
uidaho_gem_1907,Gem of the Mountains 1907,Volume 4,1907,University of Idaho; yearbooks,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,University of Idaho,"""The crowded state of affairs was responsible for a number of persons losing track of their feet, but no girl was reported to have lost track of her hand. The wagon was unpacked at Joel, and the crowd forced its way into a large hall in the city's only sky-scraper. Until the wee hours the party tripped the light fantastic to the sounds of a country fiddle..."" (pdf page 58)",,eng,Text,application/pdf,Public domain in US,http://rightsstatements.org/vocab/NoC-US/1.0/,https://www.lib.uidaho.edu/digital/gem/1907/,1907/Gem1907.pdf,https://archive.org/details/uidaho_gem_1907,https://objects.lib.uidaho.edu/gem/spines/1907.jpg,gem-1907-highlight1.jpg;gem-1907-highlight1a.jpg;gem-1907-highlight2.jpg;gem-1907-highlight3.jpg;gem-1907-highlight4.jpg;gem-1907-highlight5.jpg,uidaho_gem_1907.pdf,yearbook,https://objects.lib.uidaho.edu/gem/uidaho_gem_1907.pdf,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1907_th.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1907_sm.jpg
uidaho_gem_1908,Gem of the Mountains 1908,Volume 5,1908,University of Idaho; yearbooks,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,University of Idaho,"""The vote for laziest person went to Stewart Campbell with hardly a rival."" (pdf page 32, with Stewart's photo being on page 33)",,eng,Text,application/pdf,Public domain in US,http://rightsstatements.org/vocab/NoC-US/1.0/,https://www.lib.uidaho.edu/digital/gem/1908/,1908/Gem1908.pdf,https://archive.org/details/uidaho_gem_1908,https://objects.lib.uidaho.edu/gem/spines/1908.jpg,gem-1908-highlight1.jpg;gem-1908-highlight2.jpg;gem-1908-highlight3.jpg;gem-1908-highlight4.jpg;gem-1908-highlight5.jpg,uidaho_gem_1908.pdf,yearbook,https://objects.lib.uidaho.edu/gem/uidaho_gem_1908.pdf,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1908_th.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1908_sm.jpg
uidaho_gem_1909,Gem of the Mountains 1909,Volume 6,1909,University of Idaho; yearbooks,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,University of Idaho,"""Pandemonium broke loose. The quiet, timid maids pulled hair, and thoughtlessly used hat pins, while the fellows kicked, wrestled and muttered pleasant words. ... Later the prisoners were delivered to their friends, to be sure somewhat decorated."" (pdf page 39)",,eng,Text,application/pdf,Public domain in US,http://rightsstatements.org/vocab/NoC-US/1.0/,https://www.lib.uidaho.edu/digital/gem/1909/,1909/Gem1909.pdf,https://archive.org/details/uidaho_gem_1909,https://objects.lib.uidaho.edu/gem/spines/1909.jpg,gem-1909-highlight1.jpg;gem-1909-highlight2.jpg;gem-1909-highlight3.jpg;gem-1909-highlight4.jpg;gem-1909-highlight5.jpg,uidaho_gem_1909.pdf,yearbook,https://objects.lib.uidaho.edu/gem/uidaho_gem_1909.pdf,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1909_th.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1909_sm.jpg
uidaho_gem_1910,Gem of the Mountains 1910,Volume 7,1910,University of Idaho; yearbooks,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,University of Idaho,"""In presenting this GEM OF THE MOUNTAIN the Class of 1910 offers no apology. ..."" (page 13)",,eng,Text,application/pdf,Public domain in US,http://rightsstatements.org/vocab/NoC-US/1.0/,https://www.lib.uidaho.edu/digital/gem/1910/,1910/gem1910.pdf,https://archive.org/details/uidaho_gem_1910,https://objects.lib.uidaho.edu/gem/spines/1910.jpg,gem-1910-highlight1.jpg;gem-1910-highlight2.jpg;gem-1910-highlight3.jpg;gem-1910-highlight4.jpg;gem-1910-highlight5.jpg,uidaho_gem_1910.pdf,yearbook,https://objects.lib.uidaho.edu/gem/uidaho_gem_1910.pdf,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1910_th.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1910_sm.jpg
uidaho_gem_1911,Gem of the Mountains 1911,Volume 8,1911,University of Idaho; yearbooks,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,University of Idaho,"""Tuition is charged in Professional Courses only. The fee in the the law school being $25.00 per annum. In all of the other departments TUITION IS FREE. "" (pdf page 208)",,eng,Text,application/pdf,Public domain in US,http://rightsstatements.org/vocab/NoC-US/1.0/,https://www.lib.uidaho.edu/digital/gem/1911/,1911/Gem1911.pdf,https://archive.org/details/uidaho_gem_1911,https://objects.lib.uidaho.edu/gem/spines/1911.jpg,gem-1911-highlight1.jpg;gem-1911-highlight2.jpg;gem-1911-highlight3.jpg;gem-1911-highlight4.jpg;gem-1911-highlight5.jpg,uidaho_gem_1911.pdf,yearbook,https://objects.lib.uidaho.edu/gem/uidaho_gem_1911.pdf,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1911_th.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1911_sm.jpg
uidaho_gem_1912,Gem of the Mountains 1912,Volume 9,1912,University of Idaho; yearbooks,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,University of Idaho,"""Two of the more impetuous of the girl students, not satisfied with the opportunities for good-byes offered before the departure, rode to Pullman on the train and, during the trip, passed through the cadet car and impartially bestowed a farewell kiss on every fellow."" (page 13)",,eng,Text,application/pdf,Public domain in US,http://rightsstatements.org/vocab/NoC-US/1.0/,https://www.lib.uidaho.edu/digital/gem/1912/,1912/gem1912.pdf,https://archive.org/details/uidaho_gem_1912,https://objects.lib.uidaho.edu/gem/spines/1912.jpg,gem-1912-highlight1.jpg;gem-1912-highlight2.jpg;gem-1912-highlight3.jpg;gem-1912-highlight4a.jpg;gem-1912-highlight4d.jpg;gem-1912-highlight5.jpg,uidaho_gem_1912.pdf,yearbook,https://objects.lib.uidaho.edu/gem/uidaho_gem_1912.pdf,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1912_th.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1912_sm.jpg
uidaho_gem_1913,Gem of the Mountains 1913,Volume 10,1913,University of Idaho; yearbooks,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,University of Idaho,"""This year the annual fight between the Freshmen and Sophomores took the nature of a flag-pole rush. According to elaborately drawn rules, the Sophomores placed their green colors on the telegraph pole erected on the campus and undertook to guard them from the Freshmen. The length of the fight was twenty minutes, and for that length of time the Sophomores were able to defend the green. The same night the two classes united in a party at the gymnasium and thus ended all hostilities."" (pdf page 98)",,eng,Text,application/pdf,Public domain in US,http://rightsstatements.org/vocab/NoC-US/1.0/,https://www.lib.uidaho.edu/digital/gem/1913/,1913/gem1913.pdf,https://archive.org/details/uidaho_gem_1913,https://objects.lib.uidaho.edu/gem/spines/1913.jpg,gem-1913-highlight1.jpg;gem-1913-highlight2.jpg;gem-1913-highlight3.jpg;gem-1913-highlight4.jpg;gem-1913-highlight5.jpg,uidaho_gem_1913.pdf,yearbook,https://objects.lib.uidaho.edu/gem/uidaho_gem_1913.pdf,https://objects.lib.uidaho.edu/gem/thumbs/uidaho_gem_1913_th.jpg,https://objects.lib.uidaho.edu/gem/small/uidaho_gem_1913_sm.jpg
